사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,3호선,63,연신내,250,9,20111,1442,39970,8594,106281,13056,132115,26702,70365,26613,44632,26223,40739,28438,44329,30467,44513,36037,42285,38166,41236,47213,41193,53743,40362,70874,37820,114881,25474,102742,24814,56044,25246,64671,7927,33520,2075,14228,2,681,0,0,0,0,0,0
2021-01,3호선,64,불광,17,1,7128,839,14723,4279,38787,7402,48947,24845,26824,23767,18573,20087,17792,18235,18712,19165,19555,19744,20706,21150,21223,23678,21452,26150,22152,31115,24360,47911,13626,40284,11780,22333,10130,24863,3506,12170,937,5100,2,116,0,0,1,1,0,0
2021-01,3호선,65,녹번,17,1,7642,596,19163,4857,49459,6840,60902,15064,32180,7498,19166,6804,15002,7326,15044,8812,15384,9424,13530,11246,12382,13260,12669,17797,13591,26160,15190,48765,7017,43588,5465,23761,5148,28480,2444,12984,495,4895,0,48,0,2,0,1,0,0
2021-01,3호선,66,홍제,60,3,7284,1181,17516,7572,46507,8675,57019,18705,32619,12984,22007,12138,20224,12316,21021,14021,20545,15380,19541,17763,19580,21580,19951,24776,20731,31880,19899,51405,10647,44556,8788,24818,7623,27583,3003,12482,697,5275,0,0,0,0,0,0,0,0
2021-01,3호선,67,무악재,7,1,1346,272,3830,1854,11281,2337,13996,4720,7629,2274,5242,2390,4552,2588,4593,2944,4476,3390,4085,3752,3749,4333,4139,5379,4523,7378,5107,13225,2202,11560,1731,6617,1823,7935,896,3755,205,1455,0,1,0,0,0,0,0,0
2021-01,3호선,68,독립문,74,0,4069,534,4527,3985,11415,9241,15173,16392,10299,9102,8625,8106,8114,7446,8864,7634,9087,8638,9811,7983,9853,8465,9781,8737,10872,10591,12536,14635,5510,12139,4163,7225,3529,8535,1668,3593,301,1501,1,988,0,0,0,0,0,0
2021-01,3호선,69,경복궁(정부서울청사),57,0,1855,1117,4091,10067,10007,29694,15342,84660,14225,38637,10629,20838,11880,17938,12927,17438,15595,19441,18492,17525,23276,15365,28457,15545,43068,16858,74924,19668,30052,13569,25483,7801,24718,10111,5893,4351,1523,1924,3,85,0,0,0,0,0,0
2021-01,3호선,70,안국,3,1,1311,1188,2310,14756,4439,62592,6817,79306,5667,41411,6148,22847,8829,20034,10862,18471,12855,20752,16721,20001,20978,16218,27423,13585,71287,11819,82396,10973,32330,6143,25028,3782,21832,4283,5768,2005,1387,1003,1,15,1,0,0,0,0,0
2021-01,3호선,71,종로3가,7,2,308,676,777,4519,1261,11924,1777,35909,2464,37438,3909,24441,5303,17312,6482,15174,7496,14944,9438,14518,11381,12458,14606,10455,24646,9066,44790,7652,25974,3225,15313,1583,12517,1964,3826,833,1126,528,4,56,0,0,0,0,0,0
2021-01,3호선,72,을지로3가,4,0,421,679,779,6539,1506,27732,2280,63921,3081,30484,3616,13518,5013,10371,6164,9303,7587,9773,9784,8836,11406,8358,14676,7393,29892,7460,56489,7128,24228,3327,16170,1592,15926,1520,4422,623,1087,397,0,39,0,0,0,0,0,0
